mood,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Depression,I Don't Trust Nobody,I Don't Trust Nobody,cucu,4vxkeaDlicwTlHHKKNm12r,2017-11-05,4,72306,0.633,0.865,0.175,0.0677,0.496,0.58,-21.062,0.325,94.451,7,4
Depression,Closing My Eyes,The Whize Tapes Vol. 1,Alrahim Wright III,1h2djHkQtm3Ye6gFaAtubo,2019-05-22,0,118595,0.838,0.598,0.226,5.3e-05,0.114,0.462,-16.015,0.329,133.95,0,4
Depression,Hard It All Can Be,Thbk,Papithbk,5i39NJJWWybV0vMPiY1NwW,2018-10-24,2,104855,0.708,0.294,0.595,0.0,0.42,0.514,-7.38,0.45,82.891,11,4
Depression,Sad Nibba Hours,EP,Papithbk,2TfoabXa0CbEwcqpxOn9z3,2019-05-20,63,150702,0.745,0.322,0.664,0.0,0.851,0.526,-5.476,0.235,121.083,11,5
Depression,Save My Soul,Natsukashii,SadBoyProlific,1Xifn3lhn8hkseR4ydwurn,2018-12-24,2,84584,0.786,0.315,0.382,0.0,0.208,0.77,-11.585,0.36,89.776,10,4
Depression,Losing Intrest,Thbk,Papithbk,2Wf33QOw0gJOBAN3Ir1nUp,2018-10-24,2,93231,0.822,0.618,0.328,0.0,0.174,0.549,-15.164,0.43,134.018,10,4
Depression,Looking at Life,Sincerely Adolescence,Blai$y,5KKIQZXiQBMRSbrtvtcVKA,2017-10-12,13,144421,0.763,0.675,0.293,1.56e-05,0.184,0.385,-15.393,0.357,94.122,4,4
Depression,not alone,not alone,sadeyes,136K7vs8qhkpWfKmculLG3,2018-11-11,53,173557,0.661,0.439,0.498,0.00147,0.398,0.385,-7.187,0.0369,80.019,0,4
Depression,Lonely Nights,Thbk,Papithbk,1jalInFfEKdS2wIipwAUKs,2018-10-24,0,137482,0.791,0.118,0.675,0.0,0.115,0.345,-7.083,0.451,100.126,2,4
Depression,Pain,Pain,SadBoyProlific,4uwAYsCRwsogc8UsCs5tG9,2018-11-30,2,123062,0.735,0.218,0.392,0.0,0.112,0.244,-14.839,0.0839,113.852,5,4
Depression,Nandina,Nandina,Drex Carter,0AFmxuY039QJ7aNIeAID6N,2018-07-20,53,177000,0.831,0.668,0.458,0.0,0.226,0.618,-10.59,0.238,98.512,7,4
Depression,Trust Me,Trust Me,HELLSTRVCK,1lZiBN2IGHihxqf0vzqtjP,2019-09-20,0,185385,0.682,0.295,0.517,0.0388,0.104,0.232,-7.378,0.0634,144.998,10,4
Depression,Paranoid,beerbongs & bentleys,Post Malone,3fpVWegR6YOS1Yk5HSMYIq,2018-04-27,69,221786,0.625,0.038,0.536,2.31e-05,0.167,0.253,-5.428,0.0776,159.914,0,4
Depression,Depression,Depression,Beowülf,7KcawTxc7mb2ss0FZxxqHb,2018-02-22,0,137691,0.548,0.972,0.171,0.644,0.0928,0.238,-21.345,0.12,140.165,0,4
Depression,SAD!,?,XXXTENTACION,3ee8Jmje8o58CHK66QrVC2,2018-03-16,84,166605,0.74,0.258,0.613,0.00372,0.123,0.473,-4.88,0.145,75.023,8,4
Depression,Too Much To Ask For,5-Trak,Fresh,2njCmMVoAS0zZ5nf5bPKsN,2018-11-16,0,100245,0.879,0.132,0.47,0.000376,0.0853,0.428,-8.749,0.0669,105.543,0,4
Depression,Rip X,Rip X,iamjakehill,0RzAihLqsEg9Qcm4pfPbG2,2018-06-21,31,159326,0.693,0.418,0.434,0.0,0.338,0.685,-9.366,0.193,63.033,1,4
Depression,I Can't Sleep,"Some Boring, Love Stories",Powfu,25yup6WYnPoITrfzhkBLmt,2018-12-12,62,152500,0.805,0.182,0.479,3.41e-06,0.346,0.363,-9.238,0.363,80.454,6,4
Depression,Suicidal Thoughts,Better off Dead,Josh A,56TOfxnRzSRbFRw8J6C4IT,2017-10-19,70,181727,0.372,0.217,0.656,0.0,0.418,0.15,-6.086,0.0776,140.171,1,4
Depression,HURT,HURT,Witt Lowry,4BBwTC4qpcMrU6d438Up1x,2019-01-15,0,260769,0.692,0.317,0.729,0.0,0.293,0.327,-8.261,0.418,129.896,0,4
